 1 RANKED  8760   HOUR AVERAGE  CONCENTRATION VALUES AT EACH RECEPTOR  

         DSLPM         1     (ug/m**3)    
         (24 hours/day processed)
     RECEPTOR (x,y) km        1 RANK     NLAT_WGS84  ELON_WGS84
 
     535.304  5032.889     1.3151E+00      45.448635 -122.548531
     535.301  5025.926     4.4989E-01      45.385960 -122.549065
     533.130  5024.070     9.3321E-01      45.369358 -122.576920
     535.985  5024.755     3.7663E-01      45.375385 -122.540413
     535.570  5023.171     3.3578E-01      45.361149 -122.545830
     535.049  5021.564     4.5918E-01      45.346710 -122.552597
     534.417  5020.885     5.4048E-01      45.340626 -122.560707
     532.331  5022.837     1.6940E+00      45.358299 -122.587204
     531.858  5022.486     1.6249E+00      45.355160 -122.593269
     531.222  5022.289     8.3999E-01      45.353416 -122.601402
     530.555  5022.400     1.1110E+00      45.354443 -122.609909
     531.205  5023.004     1.5935E+00      45.359852 -122.601570
     532.319  5021.244     1.2494E+00      45.343964 -122.587463
     531.392  5020.979     1.0420E+00      45.341618 -122.599312
     530.332  5021.012     4.8782E-01      45.341965 -122.612839
     530.270  5021.771     6.6291E-01      45.348797 -122.613586
     531.885  5018.630     6.1663E-01      45.320450 -122.593170
     528.307  5017.820     3.5862E-01      45.313313 -122.638870
     527.773  5019.279     3.6665E-01      45.326466 -122.645599
     522.898  5023.309     4.1862E-01      45.362919 -122.707619
     521.846  5019.011     2.6233E-01      45.324268 -122.721245
     524.682  5018.920     2.8143E-01      45.323353 -122.685059
     519.006  5018.326     3.5419E-01      45.318184 -122.757507
     519.416  5016.628     2.8764E-01      45.302887 -122.752342
     513.971  5020.112     2.4150E-01      45.334373 -122.821693
     516.737  5017.862     3.0118E-01      45.314060 -122.786469
     512.666  5015.859     1.3843E-01      45.296120 -122.838463
     516.794  5015.838     2.9031E-01      45.295841 -122.785812
     519.230  5015.125     2.5411E-01      45.289364 -122.754776
     518.515  5013.970     2.2207E-01      45.278988 -122.763931
     521.534  5011.249     2.6222E-01      45.254406 -122.725563
     527.348  5012.811     5.2547E-01      45.268265 -122.651382
     523.683  5014.923     1.0503E+00      45.287407 -122.697998
     523.222  5012.135     7.7597E-01      45.262325 -122.704010
     524.700  5013.035     5.7600E-01      45.270382 -122.685127
     524.134  5013.197     8.0474E-01      45.271854 -122.692329
     523.330  5013.067     1.1302E+00      45.270714 -122.702583
     523.668  5010.692     2.8793E-01      45.249325 -122.698387
     524.832  5011.545     4.4491E-01      45.256962 -122.683517
     524.121  5011.745     8.1483E-01      45.258789 -122.692566
     525.079  5012.151     6.2196E-01      45.262405 -122.680336
     524.246  5011.271     5.3914E-01      45.254517 -122.690994
     537.097  5017.059     1.8274E-01      45.306057 -122.526787
     531.622  5014.724     2.0905E-01      45.285305 -122.596779
     537.933  5013.505     1.3097E-01      45.274017 -122.516396
     541.033  5023.761     2.0371E-01      45.366161 -122.476028
     545.930  5021.078     1.3502E-01      45.341709 -122.413750
     541.122  5018.587     1.4813E-01      45.319584 -122.475319
     543.611  5030.466     2.2362E-01      45.426353 -122.442520
     543.371  5032.512     2.5456E-01      45.444786 -122.445404
     541.795  5030.655     3.0083E-01      45.428165 -122.465714
     543.186  5029.159     2.2141E-01      45.414619 -122.448067
     542.812  5027.598     2.1881E-01      45.400593 -122.452980
     539.785  5028.228     5.1954E-01      45.406441 -122.491608
     546.970  5032.118     1.7063E-01      45.441010 -122.399422
     548.144  5028.882     1.4457E-01      45.411800 -122.384727
     549.763  5032.746     1.4526E-01      45.446468 -122.363647
     553.361  5031.519     1.1419E-01      45.435158 -122.317780
     557.021  5033.114     1.0286E-01      45.449223 -122.270805
     553.362  5027.146     1.3634E-01      45.395798 -122.318237
     555.884  5029.231     5.4738E-01      45.414368 -122.285782
     557.874  5028.930     1.4991E-01      45.411495 -122.260384
     558.207  5026.939     2.2058E-01      45.393547 -122.256371
     556.609  5027.317     4.7987E-01      45.397079 -122.276733
     557.790  5025.905     1.7888E-01      45.384274 -122.261818
     549.395  5025.146     1.2564E-01      45.378086 -122.369118
     556.983  5022.351     7.2743E-02      45.352356 -122.272530
     549.910  5019.684     1.4805E-01      45.328888 -122.363091
     553.443  5019.033     1.1064E-01      45.322769 -122.318077
     552.872  5022.115     9.7901E-02      45.350555 -122.325035
     544.688  5012.839     9.0099E-02      45.267628 -122.430344
     548.848  5011.913     7.4580E-02      45.259018 -122.377411
     552.495  5012.897     1.7021E-01      45.267609 -122.330826
     532.068  5010.509     1.4414E-01      45.247341 -122.591362
     539.164  5010.616     1.0221E-01      45.247952 -122.500931
     524.067  5009.561     2.5656E-01      45.239132 -122.693359
     525.569  5009.528     2.2394E-01      45.238777 -122.674225
     551.918  5016.398     6.0174E-01      45.299164 -122.337814
     553.163  5015.300     1.1752E-01      45.289188 -122.322052
     554.336  5016.138     3.3751E-01      45.296642 -122.307007
     557.418  5011.615     4.7224E-02      45.255688 -122.268227
     558.458  5014.096     4.8347E-02      45.277935 -122.254677
     559.854  5031.375     8.5313E-02      45.433334 -122.234787
     560.373  5026.912     8.7119E-02      45.393124 -122.228699
     559.701  5018.642     5.0532E-02      45.318745 -122.238281
     501.348  5070.970     4.7386E-02      45.792290 -122.982658
     508.988  5070.817     1.1358E-01      45.790855 -122.884361
     514.412  5067.528     1.5260E-01      45.761158 -122.814674
     509.717  5067.167     1.8912E-01      45.757992 -122.875053
     510.769  5065.184     1.5168E-01      45.740131 -122.861572
     509.232  5066.185     2.0507E-01      45.749161 -122.881310
     507.065  5068.286     1.0422E-01      45.768097 -122.909134
     502.260  5067.172     5.7327E-02      45.758102 -122.970940
     502.263  5011.361     1.2452E-01      45.255741 -122.971161
     506.392  5010.622     9.2647E-02      45.249065 -122.918549
     517.843  5010.356     1.5483E-01      45.246471 -122.772629
     513.214  5010.979     1.1908E-01      45.252182 -122.831604
     526.598  5036.582     1.3013E+00      45.482262 -122.659660
     527.191  5035.254     4.4028E+00      45.470284 -122.652145
     527.352  5034.789     4.6173E+00      45.466091 -122.650108
     527.375  5034.221     2.2049E+00      45.460979 -122.649849
     526.991  5034.215     1.9529E+00      45.460938 -122.654762
     526.556  5034.244     1.7352E+00      45.461220 -122.660324
     526.771  5034.797     2.9069E+00      45.466187 -122.657547
     527.658  5036.972     2.8450E+00      45.485729 -122.646072
     527.766  5036.059     2.1399E+00      45.477509 -122.644745
     527.890  5035.170     1.4617E+00      45.469501 -122.643211
     527.936  5034.363     1.8128E+00      45.462234 -122.642662
     529.473  5037.172     1.3299E+00      45.487453 -122.622833
     528.646  5036.553     1.2998E+00      45.481918 -122.633453
     528.799  5037.162     1.6378E+00      45.487396 -122.631462
     529.741  5035.966     1.2341E+00      45.476585 -122.619484
     529.771  5035.461     1.4390E+00      45.472042 -122.619125
     529.761  5034.911     2.0417E+00      45.467094 -122.619286
     528.977  5034.683     1.2670E+00      45.465073 -122.629333
     528.991  5035.137     1.2848E+00      45.469162 -122.629128
     528.803  5035.778     1.1848E+00      45.474934 -122.631493
     529.288  5035.735     1.2959E+00      45.474529 -122.625290
     530.133  5037.275     1.6918E+00      45.488354 -122.614388
     530.367  5036.704     1.8112E+00      45.483204 -122.611427
     530.121  5036.243     2.2327E+00      45.479069 -122.614601
     529.899  5036.855     1.3080E+00      45.484585 -122.617409
     530.956  5037.220     1.9552E+00      45.487823 -122.603859
     530.949  5036.695     2.0793E+00      45.483097 -122.603981
     530.946  5036.158     2.2397E+00      45.478268 -122.604050
     531.892  5036.877     1.7806E+00      45.484692 -122.591904
     531.909  5036.214     2.1678E+00      45.478725 -122.591728
     531.504  5036.281     2.4585E+00      45.479343 -122.596901
     531.505  5037.041     2.0027E+00      45.486187 -122.596840
     532.645  5037.159     1.6476E+00      45.487198 -122.582245
     532.693  5036.551     1.6720E+00      45.481720 -122.581673
     532.557  5036.067     2.1080E+00      45.477371 -122.583443
     532.302  5036.572     1.8379E+00      45.481926 -122.586678
     532.026  5037.314     1.6002E+00      45.488621 -122.590157
     534.226  5037.079     2.2101E+00      45.486401 -122.562019
     534.382  5036.381     1.6343E+00      45.480110 -122.560074
     533.653  5036.827     2.1183E+00      45.484161 -122.569374
     533.132  5037.053     2.0923E+00      45.486221 -122.576019
     534.015  5035.918     1.3322E+00      45.475960 -122.564804
     533.271  5035.345     1.2993E+00      45.470840 -122.574356
     533.291  5035.918     1.3364E+00      45.475998 -122.574066
     533.265  5036.317     2.0948E+00      45.479588 -122.574371
     532.425  5038.954     1.1374E+00      45.503365 -122.584946
     532.554  5038.533     1.3713E+00      45.499569 -122.583321
     531.748  5038.507     1.5237E+00      45.499371 -122.593636
     531.621  5038.953     1.1572E+00      45.503391 -122.595238
     532.682  5037.900     2.4300E+00      45.493866 -122.581726
     532.202  5037.902     1.9625E+00      45.493904 -122.587868
     531.749  5037.897     1.7587E+00      45.493881 -122.593666
     531.345  5037.918     2.0349E+00      45.494087 -122.598831
     531.097  5038.663     1.5183E+00      45.500805 -122.601959
     530.670  5038.769     1.5688E+00      45.501778 -122.607422
     530.198  5038.727     1.6434E+00      45.501423 -122.613464
     529.750  5038.702     1.5703E+00      45.501217 -122.619202
     530.854  5038.087     1.8836E+00      45.495632 -122.605110
     530.838  5037.691     1.9808E+00      45.492065 -122.605339
     530.030  5037.658     2.8010E+00      45.491806 -122.615677
     530.004  5038.050     3.1034E+00      45.495335 -122.615990
     529.149  5038.886     2.2019E+00      45.502899 -122.626884
     529.139  5038.453     1.7691E+00      45.499001 -122.627037
     528.500  5038.463     2.3185E+00      45.499115 -122.635216
     528.482  5038.882     2.2810E+00      45.502888 -122.635422
     529.222  5037.843     1.9509E+00      45.493504 -122.626007
     528.714  5037.883     1.9307E+00      45.493885 -122.632507
     528.343  5037.833     1.7561E+00      45.493450 -122.637260
     527.853  5038.927     1.9634E+00      45.503315 -122.643471
     527.788  5038.123     2.1022E+00      45.496086 -122.644348
     527.010  5038.875     1.7491E+00      45.502884 -122.654259
     527.092  5037.674     2.4048E+00      45.492069 -122.653282
     526.826  5038.288     1.6009E+00      45.497608 -122.656647
     527.241  5038.251     2.0800E+00      45.497257 -122.651337
     526.644  5040.276     1.5099E+00      45.515507 -122.658867
     526.594  5039.448     2.4258E+00      45.508060 -122.659554
     528.372  5040.452     1.4387E+00      45.517025 -122.636734
     528.243  5040.052     1.9108E+00      45.513428 -122.638412
     527.667  5040.054     1.7497E+00      45.513474 -122.645782
     527.800  5040.453     1.5277E+00      45.517056 -122.644058
     528.142  5039.685     3.2774E+00      45.510132 -122.639725
     528.145  5039.282     2.3508E+00      45.506504 -122.639709
     527.564  5039.484     2.0596E+00      45.508343 -122.647133
     529.259  5040.501     1.3316E+00      45.517429 -122.625374
     529.266  5040.097     1.9066E+00      45.513794 -122.625313
     528.802  5040.091     1.8121E+00      45.513756 -122.631248
     528.792  5040.490     1.4285E+00      45.517349 -122.631355
     529.221  5039.712     2.5124E+00      45.510326 -122.625908
     529.224  5039.308     2.6152E+00      45.506691 -122.625893
     528.750  5039.269     2.7570E+00      45.506359 -122.631966
     528.754  5039.675     2.7029E+00      45.510014 -122.631889
     529.706  5040.408     1.6074E+00      45.516575 -122.619659
     529.958  5040.093     1.7349E+00      45.513725 -122.616455
     529.930  5039.723     1.8380E+00      45.510399 -122.616837
     530.163  5039.354     1.2700E+00      45.507065 -122.613876
     529.709  5039.327     1.9215E+00      45.506844 -122.619690
     530.941  5039.811     1.1843E+00      45.511147 -122.603882
     530.580  5039.524     1.2098E+00      45.508575 -122.608528
     530.518  5040.155     1.5303E+00      45.514259 -122.609276
     532.661  5040.398     1.1439E+00      45.516350 -122.581825
     532.525  5039.915     1.3423E+00      45.512009 -122.583603
     532.539  5039.456     9.3855E-01      45.507877 -122.583450
     531.630  5039.762     1.2629E+00      45.510674 -122.595070
     532.157  5040.537     1.3701E+00      45.517624 -122.588272
     531.605  5040.615     1.8488E+00      45.518353 -122.595337
     533.412  5040.550     1.0431E+00      45.517681 -122.572205
     533.749  5039.873     1.0894E+00      45.511574 -122.567932
     533.314  5039.453     1.2114E+00      45.507816 -122.573532
     533.145  5040.097     1.0610E+00      45.513618 -122.575653
     532.543  5042.288     1.5935E+00      45.533367 -122.583214
     532.589  5041.797     1.5497E+00      45.528946 -122.582657
     532.587  5041.305     1.3762E+00      45.524521 -122.582718
     532.592  5040.906     1.1935E+00      45.520924 -122.582680
     532.028  5041.223     1.1693E+00      45.523808 -122.589874
     532.030  5041.721     1.2430E+00      45.528290 -122.589821
     531.904  5042.041     1.5013E+00      45.531174 -122.591415
     533.315  5041.868     1.0986E+00      45.529552 -122.573357
     533.368  5041.313     2.3924E+00      45.524551 -122.572716
     533.376  5040.912     1.4859E+00      45.520943 -122.572639
     531.266  5041.793     1.3039E+00      45.528969 -122.599602
     531.307  5041.313     2.0376E+00      45.524647 -122.599106
     530.744  5041.307     1.3467E+00      45.524620 -122.606316
     530.251  5041.442     1.4302E+00      45.525856 -122.612617
     530.743  5040.920     1.7478E+00      45.521133 -122.606354
     530.545  5040.558     2.6679E+00      45.517887 -122.608910
     529.753  5041.831     1.8046E+00      45.529381 -122.618973
     529.682  5041.099     1.1721E+00      45.522793 -122.619926
     529.134  5041.102     1.2733E+00      45.522842 -122.626945
     529.151  5041.914     1.2787E+00      45.530151 -122.626678
     528.365  5041.819     2.6183E+00      45.529327 -122.636749
     528.569  5041.366     1.9199E+00      45.525246 -122.634163
     528.592  5040.920     1.7700E+00      45.521225 -122.633896
     528.025  5040.927     1.8599E+00      45.521313 -122.641151
     528.072  5041.399     2.2597E+00      45.525558 -122.640526
     526.376  5041.077     1.5218E+00      45.522728 -122.662262
     527.304  5041.394     1.4935E+00      45.525547 -122.650360
     527.261  5040.803     1.8131E+00      45.520229 -122.650940
     525.615  5043.490     2.2148E+00      45.544479 -122.671875
     525.624  5042.485     1.7334E+00      45.535427 -122.671814
     526.350  5043.747     4.4487E+00      45.546761 -122.662445
     526.395  5043.392     3.6885E+00      45.543564 -122.661888
     526.416  5043.021     2.0637E+00      45.540226 -122.661644
     526.463  5042.155     1.2477E+00      45.532425 -122.661087
     527.345  5043.652     1.4445E+00      45.545868 -122.649704
     527.359  5043.148     1.4512E+00      45.541332 -122.649559
     526.977  5043.126     2.2664E+00      45.541149 -122.654449
     526.924  5043.657     2.7765E+00      45.545933 -122.655098
     527.371  5042.639     1.1655E+00      45.536751 -122.649429
     527.443  5042.138     1.3004E+00      45.532238 -122.648537
     527.008  5042.309     1.1892E+00      45.533794 -122.654099
     528.506  5043.733     1.0063E+00      45.546551 -122.634827
     528.521  5043.398     1.0259E+00      45.543533 -122.634659
     528.521  5043.043     1.0973E+00      45.540340 -122.634674
     527.868  5043.042     9.9255E-01      45.540356 -122.643044
     527.865  5043.390     9.7131E-01      45.543491 -122.643059
     527.862  5043.734     1.1120E+00      45.546585 -122.643082
     528.528  5042.660     1.2791E+00      45.536892 -122.634613
     528.398  5042.258     1.1680E+00      45.533276 -122.636299
     527.898  5042.164     1.4965E+00      45.532452 -122.642708
     527.889  5042.656     1.1663E+00      45.536880 -122.642792
     529.231  5043.718     1.3120E+00      45.546383 -122.625542
     529.157  5043.306     1.1552E+00      45.542683 -122.626518
     529.164  5042.719     1.2115E+00      45.537399 -122.626465
     529.981  5043.741     1.1357E+00      45.546562 -122.615936
     530.026  5043.354     1.4310E+00      45.543076 -122.615379
     529.833  5043.055     9.9633E-01      45.540394 -122.617874
     529.928  5042.681     1.0449E+00      45.537022 -122.616676
     530.083  5042.201     1.1508E+00      45.532696 -122.614723
     530.841  5043.678     1.5082E+00      45.545959 -122.604919
     530.850  5043.154     1.1813E+00      45.541237 -122.604843
     530.827  5042.753     1.1977E+00      45.537632 -122.605156
     530.849  5042.465     1.3108E+00      45.535038 -122.604897
     530.839  5042.022     1.4806E+00      45.531052 -122.605049
     532.599  5044.490     8.9027E-01      45.553188 -122.582352
     532.123  5044.349     9.8259E-01      45.551937 -122.588455
     531.469  5043.887     1.6056E+00      45.547810 -122.596863
     531.449  5044.393     1.2629E+00      45.552364 -122.597092
     532.652  5043.997     1.1654E+00      45.548744 -122.581703
     532.326  5043.698     1.4086E+00      45.546070 -122.585899
     532.501  5043.026     1.0739E+00      45.540012 -122.583702
     531.659  5042.680     1.0010E+00      45.536938 -122.594505
     531.657  5043.418     1.1094E+00      45.543579 -122.594482
     533.738  5043.764     8.8853E-01      45.546597 -122.567810
     533.590  5042.537     8.7053E-01      45.535561 -122.569786
     533.126  5042.751     9.6486E-01      45.537506 -122.575714
     533.168  5043.593     8.8874E-01      45.545082 -122.575119
     529.243  5045.292     4.1730E+00      45.560551 -122.625298
     529.241  5044.783     1.7162E+00      45.555973 -122.625351
     529.788  5044.297     1.8718E+00      45.551571 -122.618370
     529.182  5044.246     1.6682E+00      45.551140 -122.626137
     528.448  5045.327     4.2332E+00      45.560902 -122.635483
     528.446  5044.915     1.3368E+00      45.557194 -122.635529
     528.510  5044.493     1.5061E+00      45.553394 -122.634735
     528.393  5044.111     1.4963E+00      45.549957 -122.636253
     527.699  5045.325     3.5585E+00      45.560913 -122.645081
     527.698  5044.914     1.5109E+00      45.557213 -122.645111
     527.709  5044.546     1.6089E+00      45.553898 -122.644997
     527.649  5044.156     1.1886E+00      45.550392 -122.645782
     527.172  5045.073     2.7827E+00      45.558666 -122.651840
     526.698  5044.968     4.6453E+00      45.557735 -122.657921
     526.772  5045.364     2.8598E+00      45.561298 -122.656952
     527.091  5044.298     1.3659E+00      45.551693 -122.652924
     526.663  5044.308     2.4837E+00      45.551800 -122.658409
     526.154  5045.313     1.6861E+00      45.560863 -122.664871
     526.172  5044.862     5.0131E+00      45.556801 -122.664665
     525.688  5044.803     3.3074E+00      45.556293 -122.670876
     525.602  5045.221     1.7157E+00      45.560059 -122.671951
     526.229  5044.262     2.7360E+00      45.551403 -122.663971
     525.856  5044.259     4.3140E+00      45.551388 -122.668747
     525.524  5044.245     3.5867E+00      45.551277 -122.673004
     525.238  5045.107     2.4529E+00      45.559044 -122.676620
     524.949  5045.138     1.8119E+00      45.559334 -122.680321
     524.337  5044.997     2.6245E+00      45.558086 -122.688171
     524.330  5045.360     1.7267E+00      45.561352 -122.688240
     525.115  5044.323     2.0979E+00      45.551994 -122.678238
     524.648  5044.515     1.8338E+00      45.553738 -122.684212
     524.646  5044.134     1.5245E+00      45.550304 -122.684258
     526.772  5047.152     1.3230E+00      45.577393 -122.656853
     526.920  5046.729     2.6455E+00      45.573582 -122.654984
     526.873  5046.332     1.4628E+00      45.570007 -122.655609
     526.674  5045.825     2.5408E+00      45.565456 -122.658180
     527.119  5045.832     1.6898E+00      45.565498 -122.652481
     528.586  5046.241     1.4229E+00      45.569122 -122.633659
     528.173  5045.966     1.2784E+00      45.566662 -122.638969
     527.617  5045.963     1.3692E+00      45.566658 -122.646095
     527.745  5046.749     4.2504E+00      45.573727 -122.644409
     529.243  5046.411     1.9064E+00      45.570625 -122.625229
     529.243  5045.857     3.2063E+00      45.565636 -122.625259
     526.147  5047.233     1.2204E+00      45.578144 -122.664864
     526.147  5046.569     1.4526E+00      45.572166 -122.664894
     525.628  5046.642     2.2127E+00      45.572845 -122.671547
     525.643  5047.399     1.4964E+00      45.579659 -122.671310
     526.136  5046.124     1.6147E+00      45.568165 -122.665062
     526.139  5045.719     1.3266E+00      45.564522 -122.665047
     525.621  5045.908     1.5258E+00      45.566242 -122.671677
     525.043  5047.550     3.9563E+00      45.581039 -122.678993
     524.612  5047.458     2.1950E+00      45.580227 -122.684525
     524.215  5047.618     2.1007E+00      45.581684 -122.689606
     525.104  5046.713     6.2070E+00      45.573502 -122.678253
     524.608  5046.713     2.6571E+00      45.573521 -122.684616
     524.213  5046.717     4.1995E+00      45.573570 -122.689674
     525.238  5045.915     2.3901E+00      45.566319 -122.676582
     524.945  5045.909     2.4415E+00      45.566277 -122.680336
     524.562  5045.908     1.5700E+00      45.566280 -122.685242
     524.076  5045.907     1.9985E+00      45.566288 -122.691475
     523.582  5048.139     2.2980E+00      45.586395 -122.697693
     523.813  5047.485     3.4391E+00      45.580498 -122.694763
     523.312  5047.494     3.6987E+00      45.580597 -122.701187
     522.649  5047.526     1.6216E+00      45.580906 -122.709686
     522.719  5048.328     1.4863E+00      45.588123 -122.708748
     523.856  5046.710     5.7542E+00      45.573521 -122.694252
     523.675  5045.950     2.8750E+00      45.566689 -122.696609
     523.501  5046.728     5.8247E+00      45.573696 -122.698799
     522.837  5046.987     1.2921E+00      45.576046 -122.707298
     521.842  5048.726     2.0123E+00      45.591732 -122.719971
     522.050  5047.785     2.0181E+00      45.583260 -122.717346
     521.466  5047.943     1.8882E+00      45.584698 -122.724831
     521.374  5048.376     1.3035E+00      45.588596 -122.725990
     521.265  5046.591     1.8507E+00      45.572533 -122.727463
     521.630  5047.191     2.5903E+00      45.577923 -122.722755
     521.281  5047.238     3.7374E+00      45.578354 -122.727226
     521.089  5047.366     2.7086E+00      45.579517 -122.729683
     520.508  5047.343     2.0528E+00      45.579323 -122.737137
     520.292  5049.909     9.1575E-01      45.602428 -122.739792
     520.310  5049.230     2.5937E+00      45.596317 -122.739594
     519.226  5049.691     1.2191E+00      45.600494 -122.753471
     517.764  5050.460     6.3722E-01      45.607456 -122.772194
     520.586  5048.535     1.8432E+00      45.590054 -122.736084
     520.114  5047.999     4.1713E+00      45.585243 -122.742157
     519.579  5047.728     2.0984E+00      45.582817 -122.749023
     519.980  5048.710     4.0142E+00      45.591644 -122.743843
     519.192  5048.856     3.5152E+00      45.592979 -122.753944
     518.432  5048.612     6.9837E-01      45.590805 -122.763695
     518.010  5047.266     4.2884E-01      45.578701 -122.769157
     523.001  5045.240     8.0532E-01      45.560322 -122.705276
     523.321  5042.796     1.4751E+00      45.538307 -122.701294
     522.636  5041.525     1.2037E+00      45.526890 -122.710129
     522.654  5040.314     5.0826E-01      45.515991 -122.709953
     523.641  5039.870     1.0504E+00      45.511963 -122.697334
     523.038  5039.500     5.2517E-01      45.508652 -122.705070
     522.962  5042.266     4.8411E+00      45.533550 -122.705917
     523.316  5041.870     1.6982E+00      45.529976 -122.701401
     523.567  5041.390     1.5197E+00      45.525646 -122.698212
     523.799  5041.732     1.5502E+00      45.528717 -122.695221
     523.894  5041.321     1.4647E+00      45.525013 -122.694031
     523.764  5042.162     2.4802E+00      45.532589 -122.695648
     524.192  5041.446     2.8254E+00      45.526127 -122.690208
     524.420  5041.876     2.1813E+00      45.529991 -122.687263
     525.094  5041.993     1.8879E+00      45.531021 -122.678627
     525.361  5041.294     1.6528E+00      45.524719 -122.675247
     524.414  5040.759     3.9125E+00      45.519936 -122.687393
     523.890  5040.868     2.0328E+00      45.520939 -122.694099
     525.060  5040.818     2.3880E+00      45.520443 -122.679123
     524.883  5040.404     1.5158E+00      45.516724 -122.681412
     525.587  5040.562     1.4222E+00      45.518124 -122.672386
