 1 RANKED  8760   HOUR AVERAGE  CONCENTRATION VALUES AT EACH RECEPTOR  

         DSLPM         1     (ug/m**3)    
         (24 hours/day processed)
     RECEPTOR (x,y) km        1 RANK     NLAT_WGS84  ELON_WGS84
 
     507.065  5068.286     5.2049E-01      45.768097 -122.909134
     502.260  5067.172     2.8631E-01      45.758102 -122.970940
     502.263  5011.361     6.2188E-01      45.255741 -122.971161
     506.392  5010.622     4.6271E-01      45.249065 -122.918549
     517.843  5010.356     7.7327E-01      45.246471 -122.772629
     513.214  5010.979     5.9473E-01      45.252182 -122.831604
     526.598  5036.582     6.4992E+00      45.482262 -122.659660
     527.191  5035.254     2.1989E+01      45.470284 -122.652145
     527.352  5034.789     2.3060E+01      45.466091 -122.650108
     527.375  5034.221     1.1012E+01      45.460979 -122.649849
     526.991  5034.215     9.7534E+00      45.460938 -122.654762
     526.556  5034.244     8.6663E+00      45.461220 -122.660324
     526.771  5034.797     1.4518E+01      45.466187 -122.657547
     527.658  5036.972     1.4209E+01      45.485729 -122.646072
     527.766  5036.059     1.0688E+01      45.477509 -122.644745
     527.890  5035.170     7.3002E+00      45.469501 -122.643211
     527.936  5034.363     9.0538E+00      45.462234 -122.642662
     529.473  5037.172     6.6423E+00      45.487453 -122.622833
     528.646  5036.553     6.4917E+00      45.481918 -122.633453
     528.799  5037.162     8.1795E+00      45.487396 -122.631462
     529.741  5035.966     6.1637E+00      45.476585 -122.619484
     529.771  5035.461     7.1870E+00      45.472042 -122.619125
     529.761  5034.911     1.0197E+01      45.467094 -122.619286
     528.977  5034.683     6.3280E+00      45.465073 -122.629333
     528.991  5035.137     6.4168E+00      45.469162 -122.629128
     528.803  5035.778     5.9174E+00      45.474934 -122.631493
     529.288  5035.735     6.4724E+00      45.474529 -122.625290
     530.133  5037.275     8.4494E+00      45.488354 -122.614388
     530.367  5036.704     9.0458E+00      45.483204 -122.611427
     530.121  5036.243     1.1151E+01      45.479069 -122.614601
     529.899  5036.855     6.5329E+00      45.484585 -122.617409
     530.956  5037.220     9.7650E+00      45.487823 -122.603859
     530.949  5036.695     1.0385E+01      45.483097 -122.603981
     530.946  5036.158     1.1186E+01      45.478268 -122.604050
     531.892  5036.877     8.8929E+00      45.484692 -122.591904
     531.909  5036.214     1.0827E+01      45.478725 -122.591728
     531.504  5036.281     1.2278E+01      45.479343 -122.596901
     531.505  5037.041     1.0002E+01      45.486187 -122.596840
     532.645  5037.159     8.2285E+00      45.487198 -122.582245
     532.693  5036.551     8.3507E+00      45.481720 -122.581673
     532.557  5036.067     1.0528E+01      45.477371 -122.583443
     532.302  5036.572     9.1793E+00      45.481926 -122.586678
     532.026  5037.314     7.9922E+00      45.488621 -122.590157
     534.226  5037.079     1.1038E+01      45.486401 -122.562019
     534.382  5036.381     8.1622E+00      45.480110 -122.560074
     533.653  5036.827     1.0579E+01      45.484161 -122.569374
     533.132  5037.053     1.0450E+01      45.486221 -122.576019
     534.015  5035.918     6.6537E+00      45.475960 -122.564804
     533.271  5035.345     6.4893E+00      45.470840 -122.574356
     533.291  5035.918     6.6744E+00      45.475998 -122.574066
     533.265  5036.317     1.0462E+01      45.479588 -122.574371
     532.425  5038.954     5.6804E+00      45.503365 -122.584946
     532.554  5038.533     6.8489E+00      45.499569 -122.583321
     531.748  5038.507     7.6098E+00      45.499371 -122.593636
     531.621  5038.953     5.7794E+00      45.503391 -122.595238
     532.682  5037.900     1.2136E+01      45.493866 -122.581726
     532.202  5037.902     9.8012E+00      45.493904 -122.587868
     531.749  5037.897     8.7835E+00      45.493881 -122.593666
     531.345  5037.918     1.0163E+01      45.494087 -122.598831
     531.097  5038.663     7.5827E+00      45.500805 -122.601959
     530.670  5038.769     7.8353E+00      45.501778 -122.607422
     530.198  5038.727     8.2079E+00      45.501423 -122.613464
     529.750  5038.702     7.8429E+00      45.501217 -122.619202
     530.854  5038.087     9.4074E+00      45.495632 -122.605110
     530.838  5037.691     9.8930E+00      45.492065 -122.605339
     530.030  5037.658     1.3989E+01      45.491806 -122.615677
     530.004  5038.050     1.5500E+01      45.495335 -122.615990
     529.149  5038.886     1.0997E+01      45.502899 -122.626884
     529.139  5038.453     8.8357E+00      45.499001 -122.627037
     528.500  5038.463     1.1580E+01      45.499115 -122.635216
     528.482  5038.882     1.1392E+01      45.502888 -122.635422
     529.222  5037.843     9.7437E+00      45.493504 -122.626007
     528.714  5037.883     9.6426E+00      45.493885 -122.632507
     528.343  5037.833     8.7707E+00      45.493450 -122.637260
     527.853  5038.927     9.8059E+00      45.503315 -122.643471
     527.788  5038.123     1.0499E+01      45.496086 -122.644348
     527.010  5038.875     8.7355E+00      45.502884 -122.654259
     527.092  5037.674     1.2010E+01      45.492069 -122.653282
     526.826  5038.288     7.9956E+00      45.497608 -122.656647
     527.241  5038.251     1.0388E+01      45.497257 -122.651337
     526.644  5040.276     7.5413E+00      45.515507 -122.658867
     526.594  5039.448     1.2116E+01      45.508060 -122.659554
     528.372  5040.452     7.1853E+00      45.517025 -122.636734
     528.243  5040.052     9.5432E+00      45.513428 -122.638412
     527.667  5040.054     8.7384E+00      45.513474 -122.645782
     527.800  5040.453     7.6301E+00      45.517056 -122.644058
     528.142  5039.685     1.6369E+01      45.510132 -122.639725
     528.145  5039.282     1.1741E+01      45.506504 -122.639709
     527.564  5039.484     1.0286E+01      45.508343 -122.647133
     529.259  5040.501     6.6508E+00      45.517429 -122.625374
     529.266  5040.097     9.5223E+00      45.513794 -122.625313
     528.802  5040.091     9.0504E+00      45.513756 -122.631248
     528.792  5040.490     7.1343E+00      45.517349 -122.631355
     529.221  5039.712     1.2548E+01      45.510326 -122.625908
     529.224  5039.308     1.3061E+01      45.506691 -122.625893
     528.750  5039.269     1.3769E+01      45.506359 -122.631966
     528.754  5039.675     1.3499E+01      45.510014 -122.631889
     529.706  5040.408     8.0281E+00      45.516575 -122.619659
     529.958  5040.093     8.6647E+00      45.513725 -122.616455
     529.930  5039.723     9.1795E+00      45.510399 -122.616837
     530.163  5039.354     6.3429E+00      45.507065 -122.613876
     529.709  5039.327     9.5970E+00      45.506844 -122.619690
     530.941  5039.811     5.9148E+00      45.511147 -122.603882
     530.580  5039.524     6.0422E+00      45.508575 -122.608528
     530.518  5040.155     7.6428E+00      45.514259 -122.609276
     532.661  5040.398     5.7132E+00      45.516350 -122.581825
     532.525  5039.915     6.7041E+00      45.512009 -122.583603
     532.539  5039.456     4.6875E+00      45.507877 -122.583450
     531.630  5039.762     6.3072E+00      45.510674 -122.595070
     532.157  5040.537     6.8426E+00      45.517624 -122.588272
     531.605  5040.615     9.2335E+00      45.518353 -122.595337
     533.412  5040.550     5.2096E+00      45.517681 -122.572205
     533.749  5039.873     5.4407E+00      45.511574 -122.567932
     533.314  5039.453     6.0501E+00      45.507816 -122.573532
     533.145  5040.097     5.2993E+00      45.513618 -122.575653
     532.543  5042.288     7.9585E+00      45.533367 -122.583214
     532.589  5041.797     7.7400E+00      45.528946 -122.582657
     532.587  5041.305     6.8731E+00      45.524521 -122.582718
     532.592  5040.906     5.9610E+00      45.520924 -122.582680
     532.028  5041.223     5.8398E+00      45.523808 -122.589874
     532.030  5041.721     6.2078E+00      45.528290 -122.589821
     531.904  5042.041     7.4981E+00      45.531174 -122.591415
     533.315  5041.868     5.4869E+00      45.529552 -122.573357
     533.368  5041.313     1.1949E+01      45.524551 -122.572716
     533.376  5040.912     7.4211E+00      45.520943 -122.572639
     531.266  5041.793     6.5122E+00      45.528969 -122.599602
     531.307  5041.313     1.0177E+01      45.524647 -122.599106
     530.744  5041.307     6.7257E+00      45.524620 -122.606316
     530.251  5041.442     7.1431E+00      45.525856 -122.612617
     530.743  5040.920     8.7293E+00      45.521133 -122.606354
     530.545  5040.558     1.3324E+01      45.517887 -122.608910
     529.753  5041.831     9.0129E+00      45.529381 -122.618973
     529.682  5041.099     5.8541E+00      45.522793 -122.619926
     529.134  5041.102     6.3594E+00      45.522842 -122.626945
     529.151  5041.914     6.3865E+00      45.530151 -122.626678
     528.365  5041.819     1.3077E+01      45.529327 -122.636749
     528.569  5041.366     9.5885E+00      45.525246 -122.634163
     528.592  5040.920     8.8399E+00      45.521225 -122.633896
     528.025  5040.927     9.2889E+00      45.521313 -122.641151
     528.072  5041.399     1.1286E+01      45.525558 -122.640526
     526.376  5041.077     7.6007E+00      45.522728 -122.662262
     527.304  5041.394     7.4593E+00      45.525547 -122.650360
     527.261  5040.803     9.0551E+00      45.520229 -122.650940
     525.615  5043.490     1.1061E+01      45.544479 -122.671875
     525.624  5042.485     8.6575E+00      45.535427 -122.671814
     526.350  5043.747     2.2218E+01      45.546761 -122.662445
     526.395  5043.392     1.8422E+01      45.543564 -122.661888
     526.416  5043.021     1.0307E+01      45.540226 -122.661644
     526.463  5042.155     6.2316E+00      45.532425 -122.661087
     527.345  5043.652     7.2145E+00      45.545868 -122.649704
     527.359  5043.148     7.2480E+00      45.541332 -122.649559
     526.977  5043.126     1.1320E+01      45.541149 -122.654449
     526.924  5043.657     1.3867E+01      45.545933 -122.655098
     527.371  5042.639     5.8209E+00      45.536751 -122.649429
     527.443  5042.138     6.4949E+00      45.532238 -122.648537
     527.008  5042.309     5.9393E+00      45.533794 -122.654099
     528.506  5043.733     5.0257E+00      45.546551 -122.634827
     528.521  5043.398     5.1235E+00      45.543533 -122.634659
     528.521  5043.043     5.4804E+00      45.540340 -122.634674
     527.868  5043.042     4.9572E+00      45.540356 -122.643044
     527.865  5043.390     4.8511E+00      45.543491 -122.643059
     527.862  5043.734     5.5537E+00      45.546585 -122.643082
     528.528  5042.660     6.3881E+00      45.536892 -122.634613
     528.398  5042.258     5.8332E+00      45.533276 -122.636299
     527.898  5042.164     7.4738E+00      45.532452 -122.642708
     527.889  5042.656     5.8248E+00      45.536880 -122.642792
     529.231  5043.718     6.5528E+00      45.546383 -122.625542
     529.157  5043.306     5.7693E+00      45.542683 -122.626518
     529.164  5042.719     6.0506E+00      45.537399 -122.626465
     529.981  5043.741     5.6719E+00      45.546562 -122.615936
     530.026  5043.354     7.1471E+00      45.543076 -122.615379
     529.833  5043.055     4.9761E+00      45.540394 -122.617874
     529.928  5042.681     5.2188E+00      45.537022 -122.616676
